month,ecosystem,stack_overflow_tag_anchor,github_repo_group,representative_repo_count,month_index,post_chatgpt,so_dependence_pre,treatment_intensity,active_repos_observed,stackoverflow_questions_month,issues_opened,median_close_days,avg_first_response_hours,backlog_open_end_month,is_synthetic
2023-12-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,35,1,0.76,0.76,157,391,70,10.8,15.96,168,1
2024-01-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,36,1,0.76,0.76,155,357,76,10.95,14.07,175,1
2024-02-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,37,1,0.76,0.76,152,355,73,11.17,17.55,173,1
2024-03-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,38,1,0.76,0.76,155,353,73,10.17,16.05,168,1
2024-04-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,39,1,0.76,0.76,151,360,70,10.1,15.59,167,1
2024-05-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,40,1,0.76,0.76,155,363,74,10.83,16.59,169,1
2024-06-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,41,1,0.76,0.76,153,352,71,11.42,17.06,168,1
2024-07-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,42,1,0.76,0.76,153,361,73,10.18,16.74,175,1
2024-08-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,43,1,0.76,0.76,159,366,75,10.64,15.02,171,1
2024-09-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,44,1,0.76,0.76,153,346,74,11.31,16.91,178,1
2024-10-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,45,1,0.76,0.76,163,365,78,10.82,16.78,169,1
2024-11-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,46,1,0.76,0.76,158,367,75,10.84,15.67,182,1
2024-12-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,47,1,0.76,0.76,157,354,80,10.01,15.83,177,1
2021-01-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,0,0,0.41,0.0,115,307,54,9.25,11.85,157,1
2021-02-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,1,0,0.41,0.0,113,281,51,9.95,12.72,134,1
2021-03-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,2,0,0.41,0.0,118,292,50,9.35,11.71,134,1
2021-04-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,3,0,0.41,0.0,112,288,49,9.54,12.49,145,1
2021-05-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,4,0,0.41,0.0,112,286,52,9.67,13.48,142,1
2021-06-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,5,0,0.41,0.0,112,299,50,9.34,13.04,143,1
2021-07-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,6,0,0.41,0.0,106,278,50,9.43,12.51,138,1
2021-08-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,7,0,0.41,0.0,105,290,52,8.44,12.76,140,1
2021-09-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,8,0,0.41,0.0,111,267,49,8.82,11.56,147,1
2021-10-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,9,0,0.41,0.0,104,289,49,9.97,13.64,139,1
2021-11-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,10,0,0.41,0.0,107,284,51,9.31,12.82,151,1
2021-12-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,11,0,0.41,0.0,103,270,50,10.46,13.76,138,1
2022-01-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,12,0,0.41,0.0,108,279,47,9.71,12.7,144,1
2022-02-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,13,0,0.41,0.0,109,269,49,8.91,13.79,135,1
2022-03-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,14,0,0.41,0.0,111,284,51,9.1,12.4,154,1
2022-04-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,15,0,0.41,0.0,113,279,53,9.32,12.77,147,1
2022-05-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,16,0,0.41,0.0,113,283,52,9.3,13.1,147,1
2022-06-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,17,0,0.41,0.0,114,282,53,8.99,13.73,145,1
2022-07-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,18,0,0.41,0.0,115,282,55,9.68,13.29,146,1
2022-08-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,19,0,0.41,0.0,116,280,54,7.96,13.07,151,1
2022-09-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,20,0,0.41,0.0,117,282,59,9.31,13.48,148,1
2022-10-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,21,0,0.41,0.0,116,297,56,9.81,13.57,160,1
2022-11-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,22,0,0.41,0.0,117,270,54,9.22,14.14,151,1
2022-12-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,23,1,0.41,0.41,117,265,60,10.66,13.96,150,1
2023-01-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,24,1,0.41,0.41,116,293,61,8.99,12.96,151,1
2023-02-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,25,1,0.41,0.41,114,261,60,9.6,14.65,164,1
2023-03-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,26,1,0.41,0.41,115,279,59,10.0,15.15,165,1
2023-04-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,27,1,0.41,0.41,112,272,59,9.36,14.17,155,1
2023-05-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,28,1,0.41,0.41,117,247,64,9.65,14.06,158,1
2023-06-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,29,1,0.41,0.41,114,238,59,8.6,14.12,164,1
2023-07-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,30,1,0.41,0.41,113,261,59,11.07,14.24,156,1
2023-08-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,31,1,0.41,0.41,111,253,58,10.27,13.97,167,1
2023-09-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,32,1,0.41,0.41,110,252,64,9.43,14.72,159,1
2023-10-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,33,1,0.41,0.41,106,247,58,10.23,13.43,156,1
2023-11-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,34,1,0.41,0.41,114,232,60,10.13,14.11,164,1
2023-12-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,35,1,0.41,0.41,109,257,56,10.92,15.75,162,1
2024-01-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,36,1,0.41,0.41,113,235,60,11.29,11.87,158,1
2024-02-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,37,1,0.41,0.41,112,244,64,9.48,14.11,164,1
2024-03-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,38,1,0.41,0.41,111,239,61,10.57,14.36,164,1
2024-04-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,39,1,0.41,0.41,110,244,64,10.75,14.27,152,1
2024-05-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,40,1,0.41,0.41,112,256,63,11.13,14.17,155,1
2024-06-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,41,1,0.41,0.41,117,247,65,9.8,14.52,156,1
2024-07-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,42,1,0.41,0.41,118,284,66,9.34,14.18,163,1
2024-08-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,43,1,0.41,0.41,123,263,65,10.17,14.6,155,1
2024-09-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,44,1,0.41,0.41,120,252,63,9.6,15.21,166,1
2024-10-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,45,1,0.41,0.41,119,252,67,9.78,13.54,164,1
2024-11-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,46,1,0.41,0.41,121,260,67,9.92,15.38,173,1
2024-12-01,kubernetes,kubernetes,kubernetes/kubernetes | helm/helm,2,47,1,0.41,0.41,123,260,67,9.79,14.44,167,1
2021-01-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,0,0,0.82,0.0,138,432,59,10.11,13.18,156,1
2021-02-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,1,0,0.82,0.0,143,440,61,9.44,13.18,155,1
2021-03-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,2,0,0.82,0.0,142,435,64,9.22,14.57,155,1
2021-04-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,3,0,0.82,0.0,138,434,60,10.37,14.01,161,1
2021-05-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,4,0,0.82,0.0,143,458,60,9.7,13.69,161,1
2021-06-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,5,0,0.82,0.0,138,443,64,9.71,15.17,168,1
2021-07-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,6,0,0.82,0.0,141,424,61,10.36,14.18,154,1
2021-08-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,7,0,0.82,0.0,140,444,59,9.41,14.32,153,1
2021-09-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,8,0,0.82,0.0,145,437,61,10.36,14.08,149,1
2021-10-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,9,0,0.82,0.0,141,422,64,10.47,13.62,156,1
2021-11-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,10,0,0.82,0.0,140,426,62,10.41,14.65,149,1
2021-12-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,11,0,0.82,0.0,141,422,65,10.27,14.75,148,1
2022-01-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,12,0,0.82,0.0,141,425,63,10.08,14.52,158,1
2022-02-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,13,0,0.82,0.0,142,439,58,9.93,14.1,151,1
2022-03-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,14,0,0.82,0.0,141,419,61,9.63,15.38,160,1
2022-04-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,15,0,0.82,0.0,135,407,59,9.43,13.83,143,1
2022-05-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,16,0,0.82,0.0,133,405,59,9.03,14.62,151,1
2022-06-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,17,0,0.82,0.0,135,416,62,9.09,13.53,161,1
2022-07-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,18,0,0.82,0.0,138,412,59,9.19,16.26,148,1
2022-08-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,19,0,0.82,0.0,137,397,60,10.59,15.33,155,1
2022-09-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,20,0,0.82,0.0,135,416,57,10.51,15.36,151,1
2022-10-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,21,0,0.82,0.0,138,415,65,9.26,14.32,159,1
2022-11-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,22,0,0.82,0.0,139,428,62,10.19,14.37,162,1
2022-12-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,23,1,0.82,0.82,134,382,66,11.2,17.86,171,1
2023-01-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,24,1,0.82,0.82,139,398,64,11.59,16.63,154,1
2023-02-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,25,1,0.82,0.82,141,409,74,10.98,16.88,169,1
2023-03-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,26,1,0.82,0.82,141,407,71,9.83,16.96,169,1
2023-04-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,27,1,0.82,0.82,146,394,75,10.78,16.16,164,1
2023-05-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,28,1,0.82,0.82,145,400,75,10.73,15.5,176,1
2023-06-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,29,1,0.82,0.82,147,410,72,10.43,15.94,173,1
2023-07-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,30,1,0.82,0.82,147,382,77,11.04,16.17,178,1
2023-08-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,31,1,0.82,0.82,148,388,76,10.67,16.56,172,1
2023-09-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,32,1,0.82,0.82,143,395,79,10.92,17.2,180,1
2023-10-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,33,1,0.82,0.82,145,389,73,11.05,16.61,170,1
2023-11-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,34,1,0.82,0.82,135,401,70,11.22,15.72,174,1
2023-12-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,35,1,0.82,0.82,145,395,73,11.75,15.95,174,1
2024-01-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,36,1,0.82,0.82,138,395,71,11.46,16.8,181,1
2024-02-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,37,1,0.82,0.82,143,385,72,10.39,17.32,173,1
2024-03-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,38,1,0.82,0.82,139,384,72,11.02,16.48,177,1
2024-04-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,39,1,0.82,0.82,136,373,73,10.19,16.78,172,1
2024-05-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,40,1,0.82,0.82,139,381,72,11.09,16.11,167,1
2024-06-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,41,1,0.82,0.82,135,374,71,10.21,17.28,168,1
2024-07-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,42,1,0.82,0.82,138,389,75,11.22,17.48,186,1
2024-08-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,43,1,0.82,0.82,143,373,72,10.75,14.54,177,1
2024-09-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,44,1,0.82,0.82,143,376,70,10.47,16.23,168,1
2024-10-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,45,1,0.82,0.82,140,372,73,10.82,16.23,180,1
2024-11-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,46,1,0.82,0.82,140,375,75,10.73,16.3,171,1
2024-12-01,python,python,psf/requests | pandas-dev/pandas | pallets/flask,3,47,1,0.82,0.82,144,383,75,10.94,16.26,174,1
2021-01-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,0,0,0.48,0.0,92,310,45,8.53,12.25,150,1
2021-02-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,1,0,0.48,0.0,91,321,51,9.36,13.81,141,1
2021-03-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,2,0,0.48,0.0,92,336,51,9.47,13.26,138,1
2021-04-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,3,0,0.48,0.0,91,325,47,9.82,12.69,141,1
2021-05-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,4,0,0.48,0.0,90,304,46,8.57,14.04,142,1
2021-06-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,5,0,0.48,0.0,87,307,50,9.97,13.69,146,1
2021-07-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,6,0,0.48,0.0,87,306,47,8.69,11.63,148,1
2021-08-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,7,0,0.48,0.0,87,308,50,8.27,11.91,148,1
2021-09-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,8,0,0.48,0.0,86,290,46,9.03,13.84,148,1
2021-10-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,9,0,0.48,0.0,85,291,48,9.54,13.34,139,1
2021-11-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,10,0,0.48,0.0,85,282,44,8.7,13.15,149,1
2021-12-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,11,0,0.48,0.0,83,291,45,9.53,11.73,148,1
2022-01-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,12,0,0.48,0.0,84,288,46,10.24,13.11,138,1
2022-02-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,13,0,0.48,0.0,85,278,45,9.41,14.48,139,1
2022-03-01,pytorch,pytorch,pytorch/pytorch | lightning-ai/pytorch-lightning,2,14,0,0.48,0.0,85,291,47,9.1,13.06,145,1
