month,ecosystem,stack_overflow_tag_anchor,github_repo_group,representative_repo_count,month_index,post_chatgpt,so_dependence_pre,treatment_intensity,active_repos_observed,stackoverflow_questions_month,issues_opened,median_close_days,avg_first_response_hours,backlog_open_end_month,is_synthetic,exposure_bucket,months_since_chatgpt,post_period_label,high_exposure,issues_per_active_repo,backlog_per_active_repo,questions_per_active_repo,avg_first_response_days,log_issues_opened,log_backlog_open_end_month,issue_burden_index,year,calendar_month,quarter,repo_scale,post_trend_months,season_sin,season_cos,lag_issues_opened,lag_backlog_open_end_month,lag_avg_first_response_hours,delta_issues_opened,delta_backlog_open_end_month,delta_avg_first_response_hours,log1p_issues_opened,log1p_backlog_open_end_month,active_repos_z,questions_per_active_repo_z,repo_scale_z
2021-11-01,django,django,django/django | encode/django-rest-framework,2,10,0,0.69,0.0,93,389,51,9.46,13.38,143,1,mid,-13,pre,0,0.5483870967741935,1.5376344086021505,4.182795698924731,0.5575,3.951243718581427,4.969813299576001,-0.5123296579649438,2021,11,4,4.543294782270004,0,-0.5000000000000004,0.8660254037844384,47.0,153.0,14.56,4.0,-10.0,-1.1799999999999997,3.9512437185814275,4.969813299576001,-0.8238898099629612,2.267630399326311,-0.837651137617124
2021-12-01,django,django,django/django | encode/django-rest-framework,2,11,0,0.69,0.0,90,365,46,10.09,12.25,151,1,mid,-12,pre,0,0.5111111111111111,1.6777777777777778,4.055555555555555,0.5104166666666666,3.8501476017100584,5.0238805208462765,-0.5183587054555296,2021,12,4,4.51085950651685,0,-2.4492935982947064e-16,1.0,51.0,143.0,13.38,-5.0,8.0,-1.1300000000000008,3.8501476017100584,5.0238805208462765,-0.9495845604698254,2.018235126874102,-0.9983564842443519
2022-01-01,django,django,django/django | encode/django-rest-framework,2,12,0,0.69,0.0,89,395,48,9.88,13.09,150,1,mid,-11,pre,0,0.5393258426966292,1.6853932584269662,4.438202247191011,0.5454166666666667,3.8918202981106265,5.017279836814924,-0.3680526546115611,2022,1,1,4.499809670330265,0,0.49999999999999994,0.8660254037844387,46.0,151.0,12.25,2.0,-1.0,0.8399999999999999,3.8918202981106265,5.017279836814924,-0.9914828106387801,2.7682364502495296,-1.053104523633735
2022-02-01,django,django,django/django | encode/django-rest-framework,2,13,0,0.69,0.0,87,369,53,9.02,14.47,152,1,mid,-10,pre,0,0.6091954022988506,1.7471264367816093,4.241379310344827,0.6029166666666667,3.9889840465642745,5.030437921392435,-0.1886853877478755,2022,2,1,4.477336814478207,0,0.8660254037844386,0.5000000000000001,48.0,150.0,13.09,5.0,2.0,1.3800000000000008,3.9889840465642745,5.030437921392435,-1.0752793109766896,2.382456391693817,-1.164449594873265
2022-03-01,django,django,django/django | encode/django-rest-framework,2,14,0,0.69,0.0,89,374,49,9.93,13.86,147,1,mid,-9,pre,0,0.550561797752809,1.651685393258427,4.202247191011236,0.5775,3.912023005428146,4.997212273764115,-0.2168457527547997,2022,3,1,4.499809670330265,0,1.0,6.123233995736766e-17,53.0,152.0,14.47,-4.0,-5.0,-0.6100000000000012,3.912023005428146,4.997212273764115,-0.9914828106387801,2.3057560257211263,-1.053104523633735
2022-04-01,django,django,django/django | encode/django-rest-framework,2,15,0,0.69,0.0,91,366,47,9.85,12.33,146,1,mid,-8,pre,0,0.5164835164835165,1.6043956043956045,4.021978021978022,0.51375,3.871201010907891,4.990432586778736,-0.6263189835401981,2022,4,2,4.5217885770490405,0,0.8660254037844387,-0.49999999999999983,49.0,147.0,13.86,-2.0,-1.0,-1.5299999999999994,3.871201010907891,4.990432586778736,-0.9076863103008707,1.9524219494199908,-0.9442067960605436
2022-05-01,django,django,django/django | encode/django-rest-framework,2,16,0,0.69,0.0,92,377,51,10.36,14.39,146,1,mid,-7,pre,0,0.5543478260869565,1.5869565217391304,4.0978260869565215,0.5995833333333334,3.951243718581427,4.990432586778736,0.0131581043244666,2022,5,2,4.532599493153256,0,0.49999999999999994,-0.8660254037844387,47.0,146.0,12.33,4.0,0.0,2.0600000000000005,3.9512437185814275,4.990432586778736,-0.8657880601319159,2.101086893748152,-0.8906425213767701
2022-06-01,django,django,django/django | encode/django-rest-framework,2,17,0,0.69,0.0,86,374,51,9.44,13.66,147,1,mid,-6,pre,0,0.5930232558139535,1.7093023255813953,4.348837209302325,0.5691666666666667,3.951243718581427,4.997212273764115,-0.2955313777031384,2022,6,2,4.465908118654584,0,1.2246467991473532e-16,-1.0,51.0,146.0,14.39,0.0,1.0,-0.7300000000000004,3.9512437185814275,4.997212273764115,-1.1171775611456443,2.593077751258705,-1.221074750084221
2022-07-01,django,django,django/django | encode/django-rest-framework,2,18,0,0.69,0.0,95,384,50,9.77,13.16,145,1,mid,-5,pre,0,0.5263157894736842,1.5263157894736843,4.042105263157895,0.5483333333333333,3.9318256327243257,4.983606621708336,-0.4920793255197434,2022,7,3,4.564348191467836,0,-0.4999999999999998,-0.8660254037844388,51.0,147.0,13.66,-1.0,-2.0,-0.5,3.9318256327243257,4.983606621708336,-0.7400933096250518,1.9918720684221496,-0.7333389237000434
2022-08-01,django,django,django/django | encode/django-rest-framework,2,19,0,0.69,0.0,93,381,47,9.93,13.97,147,1,mid,-4,pre,0,0.5053763440860215,1.5806451612903225,4.096774193548387,0.5820833333333334,3.871201010907891,4.997212273764115,-0.3275899740465442,2022,8,3,4.543294782270004,0,-0.8660254037844384,-0.5000000000000004,50.0,145.0,13.16,-3.0,2.0,0.8100000000000005,3.871201010907891,4.997212273764115,-0.8238898099629612,2.0990251447107333,-0.837651137617124
2022-09-01,django,django,django/django | encode/django-rest-framework,2,20,0,0.69,0.0,95,384,55,10.06,15.12,151,1,mid,-3,pre,0,0.5789473684210527,1.5894736842105264,4.042105263157895,0.63,4.02535169073515,5.0238805208462765,0.1682953978540488,2022,9,3,4.564348191467836,0,-1.0,-1.8369701987210297e-16,47.0,147.0,13.97,8.0,4.0,1.1499999999999986,4.02535169073515,5.0238805208462765,-0.7400933096250518,1.9918720684221496,-0.7333389237000434
2022-10-01,django,django,django/django | encode/django-rest-framework,2,21,0,0.69,0.0,93,385,56,9.96,15.17,157,1,mid,-2,pre,0,0.6021505376344086,1.6881720430107527,4.139784946236559,0.6320833333333333,4.04305126783455,5.062595033026967,0.2736240125504366,2022,10,4,4.543294782270004,0,-0.8660254037844386,0.5000000000000001,55.0,151.0,15.12,1.0,6.0,0.05000000000000071,4.04305126783455,5.062595033026967,-0.8238898099629612,2.1833277720185222,-0.837651137617124
2022-11-01,django,django,django/django | encode/django-rest-framework,2,22,0,0.69,0.0,97,382,60,9.53,13.67,158,1,mid,-1,pre,0,0.6185567010309279,1.6288659793814433,3.938144329896907,0.5695833333333333,4.110873864173311,5.0689042022202315,-0.0790259171276611,2022,11,4,4.584967478670572,0,-0.5000000000000004,0.8660254037844384,56.0,157.0,15.17,4.0,1.0,-1.5,4.110873864173311,5.0689042022202315,-0.6562968092871423,1.7881048878100996,-0.6311776310894861
2022-12-01,django,django,django/django | encode/django-rest-framework,2,23,1,0.69,0.69,98,368,60,10.69,15.67,162,1,mid,0,post,0,0.6122448979591837,1.653061224489796,3.7551020408163263,0.6529166666666667,4.110873864173311,5.093750200806762,0.684917536556695,2022,12,4,4.59511985013459,0,-2.4492935982947064e-16,1.0,60.0,158.0,13.67,0.0,4.0,2.0,4.110873864173311,5.093750200806762,-0.6143985591181876,1.429335396148349,-0.5808762127315844
2023-01-01,django,django,django/django | encode/django-rest-framework,2,24,1,0.69,0.69,96,369,64,11.38,15.28,160,1,mid,1,post,0,0.6666666666666666,1.6666666666666667,3.84375,0.6366666666666666,4.174387269895637,5.081404364984463,0.9712477483471053,2023,1,1,4.574710978503383,1,0.49999999999999994,0.8660254037844387,60.0,162.0,15.67,4.0,-2.0,-0.39000000000000057,4.174387269895637,5.081404364984463,-0.6981950594560971,1.6030885950016318,-0.6819949704299764
2023-02-01,django,django,django/django | encode/django-rest-framework,2,25,1,0.69,0.69,100,356,61,10.39,15.6,173,1,mid,2,post,0,0.61,1.73,3.56,0.65,4.127134385045092,5.159055299214529,0.6814943337008633,2023,2,1,4.61512051684126,2,0.8660254037844386,0.5000000000000001,64.0,160.0,15.28,-3.0,13.0,0.3200000000000003,4.127134385045092,5.159055299214529,-0.5306020587802781,1.0469283559095284,-0.48177996639988846
2023-03-01,django,django,django/django | encode/django-rest-framework,2,26,1,0.69,0.69,100,366,62,11.02,15.58,160,1,mid,3,post,0,0.62,1.6,3.66,0.6491666666666667,4.143134726391533,5.081404364984463,0.7819639075654183,2023,3,1,4.61512051684126,3,1.0,6.123233995736766e-17,61.0,173.0,15.6,1.0,-13.0,-0.019999999999999574,4.143134726391533,5.081404364984463,-0.5306020587802781,1.2429319644001378,-0.48177996639988846
2023-04-01,django,django,django/django | encode/django-rest-framework,2,27,1,0.69,0.69,103,360,61,11.02,14.52,158,1,mid,4,post,0,0.5922330097087378,1.5339805825242718,3.495145631067961,0.605,4.127134385045092,5.0689042022202315,0.4942913711410533,2023,4,2,4.6443908991413725,4,0.8660254037844387,-0.49999999999999983,62.0,160.0,15.58,-1.0,-2.0,-1.0600000000000005,4.127134385045092,5.0689042022202315,-0.404907308273414,0.9198114525389192,-0.33675555010542585
2023-05-01,django,django,django/django | encode/django-rest-framework,2,28,1,0.69,0.69,105,368,65,11.34,15.58,165,1,mid,5,post,0,0.6190476190476191,1.5714285714285714,3.5047619047619047,0.6491666666666667,4.189654742026425,5.111987788356544,0.9462483228955444,2023,5,2,4.663439094112067,5,0.49999999999999994,-0.8660254037844387,61.0,158.0,14.52,4.0,7.0,1.0600000000000005,4.189654742026425,5.111987788356544,-0.32111080793550456,0.9386596959813822,-0.2423784651475218
2023-06-01,django,django,django/django | encode/django-rest-framework,2,29,1,0.69,0.69,99,336,63,10.83,14.91,164,1,mid,6,post,0,0.6363636363636364,1.6565656565656566,3.393939393939394,0.62125,4.1588830833596715,5.10594547390058,0.6853920477581238,2023,6,2,4.605170185988092,6,1.2246467991473532e-16,-1.0,65.0,165.0,15.58,-2.0,-1.0,-0.6699999999999999,4.1588830833596715,5.10594547390058,-0.5725003089492329,0.7214435757493654,-0.5310803448207023
2023-07-01,django,django,django/django | encode/django-rest-framework,2,30,1,0.69,0.69,96,356,62,10.07,16.59,161,1,mid,7,post,0,0.6458333333333334,1.6770833333333333,3.7083333333333335,0.69125,4.143134726391533,5.087596335232384,0.7326062852735171,2023,7,3,4.574710978503383,7,-0.4999999999999998,-0.8660254037844388,63.0,164.0,14.91,-1.0,-3.0,1.6799999999999997,4.143134726391533,5.087596335232384,-0.6981950594560971,1.3376670418372656,-0.6819949704299764
2023-08-01,django,django,django/django | encode/django-rest-framework,2,31,1,0.69,0.69,97,347,63,10.46,16.03,163,1,mid,8,post,0,0.6494845360824743,1.6804123711340206,3.577319587628866,0.6679166666666667,4.1588830833596715,5.099866427824199,0.7913504895820924,2023,8,3,4.584967478670572,8,-0.8660254037844384,-0.5000000000000004,62.0,161.0,16.59,1.0,2.0,-0.5599999999999987,4.1588830833596715,5.099866427824199,-0.6562968092871423,1.080875372637799,-0.6311776310894861
2023-09-01,django,django,django/django | encode/django-rest-framework,2,32,1,0.69,0.69,99,343,62,10.11,14.3,160,1,mid,9,post,0,0.6262626262626263,1.616161616161616,3.4646464646464645,0.5958333333333333,4.143134726391533,5.081404364984463,0.2702661137148626,2023,9,3,4.605170185988092,9,-1.0,-1.8369701987210297e-16,63.0,163.0,16.03,-1.0,-3.0,-1.7300000000000004,4.143134726391533,5.081404364984463,-0.5725003089492329,0.86003198579323,-0.5310803448207023
2023-10-01,django,django,django/django | encode/django-rest-framework,2,33,1,0.69,0.69,98,347,61,10.35,15.43,155,1,mid,10,post,0,0.6224489795918368,1.5816326530612246,3.5408163265306123,0.6429166666666667,4.127134385045092,5.049856007249537,0.4884759770474743,2023,10,4,4.59511985013459,10,-0.8660254037844386,0.5000000000000001,62.0,160.0,14.3,-1.0,-5.0,1.129999999999999,4.127134385045092,5.049856007249537,-0.6143985591181876,1.0093276636684727,-0.5808762127315844
2023-11-01,django,django,django/django | encode/django-rest-framework,2,34,1,0.69,0.69,94,325,63,10.4,13.84,162,1,mid,11,post,0,0.6702127659574468,1.7234042553191489,3.4574468085106385,0.5766666666666667,4.1588830833596715,5.093750200806762,0.4190390454929061,2023,11,4,4.553876891600541,11,-0.5000000000000004,0.8660254037844384,61.0,155.0,15.43,2.0,7.0,-1.5899999999999999,4.1588830833596715,5.093750200806762,-0.7819915597940065,0.8459203999680953,-0.7852205197628641
2023-12-01,django,django,django/django | encode/django-rest-framework,2,35,1,0.69,0.69,91,340,60,11.7,15.58,165,1,mid,12,post,0,0.6593406593406593,1.8131868131868132,3.736263736263736,0.6491666666666667,4.110873864173311,5.111987788356544,1.158796422650554,2023,12,4,4.5217885770490405,12,-2.4492935982947064e-16,1.0,63.0,162.0,13.84,-3.0,3.0,1.7400000000000002,4.110873864173311,5.111987788356544,-0.9076863103008707,1.3924116394468211,-0.9442067960605436
2024-01-01,django,django,django/django | encode/django-rest-framework,2,36,1,0.69,0.69,92,316,57,10.91,15.28,162,1,mid,13,post,0,0.6195652173913043,1.7608695652173914,3.4347826086956523,0.6366666666666666,4.060443010546419,5.093750200806762,0.7057606922140911,2024,1,1,4.532599493153256,13,0.49999999999999994,0.8660254037844387,60.0,165.0,15.58,-3.0,-3.0,-0.3000000000000007,4.060443010546419,5.093750200806762,-0.8657880601319159,0.8014977504952006,-0.8906425213767701
2024-02-01,django,django,django/django | encode/django-rest-framework,2,37,1,0.69,0.69,93,329,61,10.92,16.75,156,1,mid,14,post,0,0.6559139784946236,1.6774193548387095,3.5376344086021505,0.6979166666666666,4.127134385045092,5.056245805348308,1.0092379067402646,2024,2,1,4.543294782270004,14,0.8660254037844386,0.5000000000000001,57.0,162.0,15.28,4.0,-6.0,1.4700000000000006,4.127134385045092,5.056245805348308,-0.8238898099629612,1.003090989709478,-0.837651137617124
2024-03-01,django,django,django/django | encode/django-rest-framework,2,38,1,0.69,0.69,95,325,62,9.9,15.99,162,1,mid,15,post,0,0.6526315789473685,1.7052631578947368,3.4210526315789473,0.66625,4.143134726391533,5.093750200806762,0.5970676332511309,2024,3,1,4.564348191467836,15,1.0,6.123233995736766e-17,61.0,156.0,16.75,1.0,6.0,-0.7599999999999998,4.143134726391533,5.093750200806762,-0.7400933096250518,0.774586499901524,-0.7333389237000434
2024-04-01,django,django,django/django | encode/django-rest-framework,2,39,1,0.69,0.69,94,342,62,10.42,15.04,162,1,mid,16,post,0,0.6595744680851063,1.7234042553191489,3.638297872340426,0.6266666666666666,4.143134726391533,5.093750200806762,0.6129590920584236,2024,4,2,4.553876891600541,16,0.8660254037844387,-0.49999999999999983,62.0,162.0,15.99,0.0,0.0,-0.9500000000000011,4.143134726391533,5.093750200806762,-0.7819915597940065,1.2003950110681334,-0.7852205197628641
2024-05-01,django,django,django/django | encode/django-rest-framework,2,40,1,0.69,0.69,92,329,59,11.52,15.43,162,1,mid,17,post,0,0.6413043478260869,1.7608695652173914,3.5760869565217392,0.6429166666666667,4.0943445622221,5.093750200806762,0.9908105585577068,2024,5,2,4.532599493153256,17,0.49999999999999994,-0.8660254037844387,62.0,162.0,15.04,-3.0,0.0,0.39000000000000057,4.0943445622221,5.093750200806762,-0.8657880601319159,1.0784593711884527,-0.8906425213767701
2024-06-01,django,django,django/django | encode/django-rest-framework,2,41,1,0.69,0.69,90,361,60,10.82,16.15,168,1,mid,18,post,0,0.6666666666666666,1.8666666666666667,4.011111111111111,0.6729166666666666,4.110873864173311,5.1298987149230735,1.0289399050302623,2024,6,2,4.51085950651685,18,1.2246467991473532e-16,-1.0,59.0,162.0,15.43,1.0,6.0,0.7199999999999989,4.110873864173311,5.1298987149230735,-0.9495845604698254,1.9311224119893875,-0.9983564842443519
2024-07-01,django,django,django/django | encode/django-rest-framework,2,42,1,0.69,0.69,97,344,60,12.0,15.42,166,1,mid,19,post,0,0.6185567010309279,1.711340206185567,3.546391752577319,0.6425,4.110873864173311,5.117993812416755,1.125161789665978,2024,7,3,4.584967478670572,19,-0.4999999999999998,-0.8660254037844388,60.0,168.0,16.15,0.0,-2.0,-0.7299999999999986,4.110873864173311,5.117993812416755,-0.6562968092871423,1.020255699908743,-0.6311776310894861
2024-08-01,django,django,django/django | encode/django-rest-framework,2,43,1,0.69,0.69,93,350,62,10.35,13.75,157,1,mid,20,post,0,0.6666666666666666,1.6881720430107527,3.763440860215054,0.5729166666666666,4.143134726391533,5.062595033026967,0.3214457072021282,2024,8,3,4.543294782270004,20,-0.8660254037844384,-0.5000000000000004,60.0,166.0,15.42,2.0,-9.0,-1.67,4.143134726391533,5.062595033026967,-0.8238898099629612,1.4456797830753703,-0.837651137617124
2024-09-01,django,django,django/django | encode/django-rest-framework,2,44,1,0.69,0.69,102,351,65,11.1,15.61,168,1,mid,21,post,0,0.6372549019607843,1.6470588235294117,3.4411764705882355,0.6504166666666666,4.189654742026425,5.1298987149230735,0.9495534828194094,2024,9,3,4.634728988229636,21,-1.0,-1.8369701987210297e-16,62.0,157.0,13.75,3.0,11.0,1.8599999999999994,4.189654742026425,5.1298987149230735,-0.4468055584423687,0.8140299505265696,-0.3846269094849138
2024-10-01,django,django,django/django | encode/django-rest-framework,2,45,1,0.69,0.69,97,367,64,9.94,16.4,166,1,mid,22,post,0,0.6597938144329897,1.711340206185567,3.783505154639175,0.6833333333333332,4.174387269895637,5.117993812416755,0.7495266059227004,2024,10,4,4.584967478670572,22,-0.8660254037844386,0.5000000000000001,65.0,168.0,15.61,-1.0,-2.0,0.7899999999999991,4.174387269895637,5.117993812416755,-0.6562968092871423,1.4850065241648278,-0.6311776310894861
2024-11-01,django,django,django/django | encode/django-rest-framework,2,46,1,0.69,0.69,98,357,66,11.2,16.41,165,1,mid,23,post,0,0.673469387755102,1.683673469387755,3.642857142857143,0.68375,4.204692619390966,5.111987788356544,1.1932148048265745,2024,11,4,4.59511985013459,23,-0.5000000000000004,0.8660254037844384,64.0,166.0,16.4,2.0,-1.0,0.010000000000001563,4.204692619390966,5.111987788356544,-0.6143985591181876,1.2093313458017472,-0.5808762127315844
2024-12-01,django,django,django/django | encode/django-rest-framework,2,47,1,0.69,0.69,104,356,71,10.03,15.77,166,1,mid,24,post,0,0.6826923076923077,1.5961538461538465,3.423076923076923,0.6570833333333334,4.276666119016055,5.117993812416755,0.7561734621681958,2024,12,4,4.653960350157523,24,-2.4492935982947064e-16,1.0,66.0,165.0,16.41,5.0,1.0,-0.6400000000000006,4.276666119016055,5.117993812416755,-0.36300905810445927,0.7785541842839246,-0.2893422968842562
2021-01-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,0,0,0.76,0.0,163,422,61,9.69,12.87,150,1,high,-23,pre,1,0.3742331288343558,0.9202453987730062,2.588957055214724,0.53625,4.127134385045092,5.017279836814924,-0.8547805328064694,2021,1,1,5.099866427824199,0,0.49999999999999994,0.8660254037844387,61.0,150.0,12.87,0.0,0.0,0.0,4.127134385045092,5.017279836814924,2.108987701863869,-0.8563508558630862,1.9199649807837134
2021-02-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,1,0,0.76,0.0,160,419,61,9.83,14.33,147,1,high,-22,pre,1,0.38125,0.91875,2.61875,0.5970833333333333,4.127134385045092,4.997212273764115,-0.5466641230632224,2021,2,1,5.081404364984463,0,0.8660254037844386,0.5000000000000001,61.0,150.0,12.87,0.0,-3.0,1.4600000000000009,4.127134385045092,4.997212273764115,1.9832929513570052,-0.7979556090083307,1.828491973719025
2021-03-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,2,0,0.76,0.0,159,408,66,10.16,14.24,158,1,high,-21,pre,1,0.4150943396226415,0.9937106918238994,2.5660377358490565,0.5933333333333334,4.204692619390966,5.0689042022202315,-0.2320766381417573,2021,3,1,5.075173815233827,0,1.0,6.123233995736766e-17,61.0,147.0,14.33,5.0,11.0,-0.08999999999999986,4.204692619390966,5.0689042022202315,1.9413947011880504,-0.9012735488612816,1.7976217981430747
2021-04-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,3,0,0.76,0.0,160,416,62,10.29,13.63,155,1,high,-20,pre,1,0.3875,0.96875,2.6,0.5679166666666667,4.143134726391533,5.049856007249537,-0.4434809042464928,2021,4,2,5.081404364984463,0,0.8660254037844387,-0.49999999999999983,66.0,158.0,14.24,-4.0,-3.0,-0.6099999999999994,4.143134726391533,5.049856007249537,1.9832929513570052,-0.8347062856003197,1.828491973719025
2021-05-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,4,0,0.76,0.0,157,412,58,9.58,12.75,154,1,high,-19,pre,1,0.3694267515923566,0.9808917197452228,2.624203821656051,0.53125,4.07753744390572,5.043425116919247,-0.9400767495494728,2021,5,2,5.062595033026967,0,0.49999999999999994,-0.8660254037844387,62.0,155.0,13.63,-4.0,-1.0,-0.8800000000000008,4.07753744390572,5.043425116919247,1.857598200850141,-0.7872659217618287,1.7352983707091265
2021-06-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,5,0,0.76,0.0,158,434,62,9.59,13.61,161,1,high,-18,pre,1,0.3924050632911392,1.018987341772152,2.7468354430379747,0.5670833333333333,4.143134726391533,5.087596335232384,-0.624638322910834,2021,6,2,5.0689042022202315,0,1.2246467991473532e-16,-1.0,58.0,154.0,12.75,4.0,7.0,0.8599999999999994,4.143134726391533,5.087596335232384,1.8994964510190957,-0.5469035187027165,1.766558077882568
2021-07-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,6,0,0.76,0.0,157,409,62,9.91,13.94,146,1,high,-17,pre,1,0.3949044585987261,0.929936305732484,2.605095541401274,0.5808333333333333,4.143134726391533,4.990432586778736,-0.5502806364988992,2021,7,3,5.062595033026967,0,-0.4999999999999998,-0.8660254037844388,62.0,161.0,13.61,0.0,-15.0,0.33000000000000007,4.143134726391533,4.990432586778736,1.857598200850141,-0.8247188405816899,1.7352983707091265
